classifier,score,time
SVC,0.9549902152641878,0.10595989227294922
SGDClassifier,0.9549902152641878,0.0089111328125
RidgeClassifierCV,0.9549902152641878,0.3192470073699951
RidgeClassifier,0.9549902152641878,0.0037534236907958984
Perceptron,0.9344422700587084,0.0018279552459716797
PassiveAggressiveClassifier,0.9461839530332681,0.0021271705627441406
LogisticRegressionCV,0.9549902152641878,0.16614198684692383
LogisticRegression,0.9549902152641878,0.02423095703125
LinearSVC,0.9549902152641878,0.005945920944213867
RandomForestClassifier,0.9549902152641878,0.28127193450927734
HistGradientBoostingClassifier,0.949119373776908,0.7815780639648438
GradientBoostingClassifier,0.9530332681017613,0.45381712913513184
ExtraTreesClassifier,0.9500978473581213,0.14499521255493164
AdaBoostClassifier,0.9471624266144814,0.21612191200256348
XGBClassifier,0.9442270058708415,0.07365298271179199
LGBMClassifier,0.9510763209393346,0.3956749439239502
CatBoostClassifier,0.949119373776908,0.2424921989440918
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.9442270058708415,0.00222015380859375
NearestCentroid,0.6996086105675147,0.0009160041809082031
QuadraticDiscriminantAnalysis,0.8444227005870841,0.0074689388275146484
LinearDiscriminantAnalysis,0.9432485322896281,0.1381371021270752
GaussianNB,0.29549902152641877,0.001470804214477539
BernoulliNB,0.8679060665362035,0.001641988754272461
MLPClassifier,0.9227005870841487,8.755146980285645
ExtraTreeClassifier,0.8972602739726028,0.004418611526489258
DecisionTreeClassifier,0.9041095890410958,0.025480985641479492
LabelSpreading,0.910958904109589,0.34800291061401367
LabelPropagation,0.9099804305283757,0.20199871063232422
DummyClassifier,0.9549902152641878,0.0001811981201171875
