classifier,score,time
SVC,0.819672131147541,0.0017230510711669922
SGDClassifier,0.6557377049180327,0.0008029937744140625
RidgeClassifierCV,0.7540983606557377,0.0013649463653564453
RidgeClassifier,0.7704918032786885,0.0008649826049804688
Perceptron,0.7868852459016393,0.0006949901580810547
PassiveAggressiveClassifier,0.8032786885245902,0.0006277561187744141
LogisticRegressionCV,0.7868852459016393,0.030428171157836914
LogisticRegression,0.7868852459016393,0.0011548995971679688
LinearSVC,0.7868852459016393,0.0007340908050537109
RandomForestClassifier,0.7704918032786885,0.04588437080383301
HistGradientBoostingClassifier,0.7377049180327869,0.1953868865966797
GradientBoostingClassifier,0.7704918032786885,0.052392005920410156
ExtraTreesClassifier,0.7540983606557377,0.03616619110107422
AdaBoostClassifier,0.7213114754098361,0.05625009536743164
XGBClassifier,0.7377049180327869,0.0641169548034668
LGBMClassifier,0.7377049180327869,0.18009090423583984
CatBoostClassifier,0.7213114754098361,0.1551799774169922
RadiusNeighborsClassifier,,
KNeighborsClassifier,0.7868852459016393,0.009139060974121094
NearestCentroid,0.8032786885245902,0.0005040168762207031
QuadraticDiscriminantAnalysis,0.819672131147541,0.0025207996368408203
LinearDiscriminantAnalysis,0.7868852459016393,0.0015881061553955078
GaussianNB,0.7704918032786885,0.0005877017974853516
BernoulliNB,0.7868852459016393,0.0007479190826416016
MLPClassifier,0.7868852459016393,1.174203872680664
ExtraTreeClassifier,0.7868852459016393,0.0006968975067138672
DecisionTreeClassifier,0.7540983606557377,0.0009799003601074219
LabelSpreading,0.7540983606557377,0.0014958381652832031
LabelPropagation,0.7540983606557377,0.0008909702301025391
DummyClassifier,0.5409836065573771,8.726119995117188e-05
